Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.668734307,7.729851555,8.02899419,7.932470904,8.000433575,10.21428159,9.157520461,6.91530044,6.207431309,6.238519712
Least developed countries: UN classification,LDC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.839384551,4.906837692,4.969473103,4.887023551,4.886146554,5.639128799,5.753024166,5.088444568,4.946423147,4.891534033
Low income,LIC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.512770131,5.607696443,5.691854095,5.541300637,5.525978679,6.114632525,6.148676793,5.485768118,5.297353888,5.090457373
Liechtenstein,LIE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Sri Lanka,LKA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.519,4.242,4.046,4.318,4.67,5.364,4.981,4.528,5.997,4.996
Lower middle income,LMC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.159380255,6.046551853,6.133608043,6.124545925,5.631349755,6.674717298,6.023665848,4.855303708,4.413936003,4.40371394
Low & middle income,LMY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.926345946,6.008257348,6.054724029,6.000988753,5.860904625,6.690896715,6.226029712,5.484555473,5.087677414,5.04129616
Lesotho,LSO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.254,16.17,16.401,16.625,16.876,18.399,18.23,16.688,16.457,16.147
Late-demographic dividend,LTE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.100332372,5.26949442,5.260335774,5.039761855,5.185184721,5.918844427,5.495153627,5.182734979,4.805538352,4.649919058
Lithuania,LTU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.12,7.862,7.073,6.147,6.255,8.487,7.112,5.955,6.841,7.504
Luxembourg,LUX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.796,6.669,5.523,5.589,5.592,6.766,5.571,4.588,5.184,5.935
Latvia,LVA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.873,9.643,8.715,7.412,6.312,8.098,7.513,6.815,6.465,6.72
"Macao SAR, China",MAC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.81,1.939,1.987,1.834,1.749,2.566,2.229,2.482,2.235,2.437
St. Martin (French part),MAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Morocco,MAR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.46,9.3,9.223,9.271,9.194,11.223,10.576,9.494,9.044,8.943
Monaco,MCO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Moldova,MDA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.742,1.557,1.586,1.196,1.466,1.186,0.785,0.897,1.555,1.434
Madagascar,MDG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.785,1.947,2.119,2.297,2.469,3.284,3.487,3.186,3.069,3.012
Maldives,MDV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.604,5.771,5.401,4.95,4.562,5.434,5.024,4.419,4.241,4.636
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.363914021,8.074841044,8.522849063,8.54016359,8.334642438,9.214422512,9.027122233,8.41864578,8.078864426,8.012862306
Mexico,MEX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.311,3.853,3.419,3.275,3.477,4.44,4.019,3.256,2.765,2.711
Marshall Islands,MHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Middle income,MIC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.955509034,6.036806875,6.08090306,6.034827151,5.886047408,6.73531873,6.232037254,5.484459016,5.071622525,5.037559686
Macedonia,MKD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.476,13.174,13.417
Mali,MLI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.401,1.367,1.494,1.62,3.29,3.528,3.966,2.387,2.956,3.06
Malta,MLT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.389,4.687,4.002,3.658,3.616,4.347,3.394,2.921,3.11,2.703
Myanmar,MMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.766,1.058,1.356,0.767,0.407,1.476,4.34,3.057,3.032,3.032
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.049376619,8.755096979,9.25655934,9.287174247,9.068633589,9.849293764,9.717982295,9.145784822,8.919076142,8.889644067
Montenegro,MNE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.555,17.732,16.082,15.19,15.128,17.878,16.543,14.851,14.621,14.1
Mongolia,MNG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.861,7.235,6.359,5.377,9.269,6.594,7.747,6.211,5.503,5.424
Northern Mariana Islands,MNP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Mozambique,MOZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.426,3.457,3.539,3.604,3.646,3.921,4.053,3.596,3.519,3.527
Mauritania,MRT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.108,10.283,10.336,10.407,10.416,11.054,11.144,10.531,10.446,10.373
Mauritius,MUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.41,6.814,6.752,6.426,6.331,8.626,7.719,6.322,5.571,5.476
Malawi,MWI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.954,5.007,5.039,5.014,4.966,5.728,5.662,5.037,5.033,5.045
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.1,3.44,3.41,3.3,3.26,4.54,4.64,3.93,3.869,3.826
North America,NAC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.460640822,5.103407019,4.579717386,4.107214299,3.890566885,8.230599907,5.5921098,3.833031486,3.840737513,4.37803269
Namibia,NAM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.808,23.352,21.733,19.877,19.921,21.004,20.922,19.695,19.365,19.148
New Caledonia,NCL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.637,12.714,11.676,11.702,10.88,13.558,11.54,10.71,10.939,11.15
Niger,NER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.553,0.548,0.554,0.535,0.531,0.594,0.78,0.418,0.425,0.355
Nigeria,NGA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.135,4.499,4.828,5.067,5.206,5.742,5.45,3.821,3.074,2.989
Nicaragua,NIC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.7,3.9,3.3,5.2,5.472,6.201,6.118,4.961,4.716,4.574
Netherlands,NLD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.537,3.599
Norway,NOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.296,4.68,4.164,3.801,3.684,4.424,4.359,3.231,3.572,3.97
Nepal,NPL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.644,10.742,10.66,10.559,10.389,12.975,12.186,10.844,10.628,10.706
Nauru,NRU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
New Zealand,NZL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.297,3.729,4.869
OECD members,OED,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.855498263,6.432326315,5.915492826,5.476703716,5.388357605,7.150567539,6.193192458,4.986369265,4.825673308,4.905843763
Oman,OMN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.401,3.266,2.522,1.8,2.04,2.94,1.9,3.3,3.176,3.161
Other small states,OSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.995644476,9.702239485,9.258776327,8.758577556,8.326514859,9.923990551,9.442126397,8.787774038,8.428542226,8.411555577
Pakistan,PAK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.566,2.285,3.215,4.083,4.83,6.127,6.338,5.485,5.408,5.472
Panama,PAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.335,4.717,5.338,5.161,6.256,14.663,10.177,8.086,6.544,6.518
Peru,PER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.272,3.741,3.691,3.492,3.379,7.179,5.097,3.85,4.899,4.828
Philippines,PHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.068,2.695,2.552,2.338,2.237,2.522,3.398,2.598,2.222,2.153
Palau,PLW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Papua New Guinea,PNG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.503,2.472,2.569,2.635,2.634,2.883,3.003,2.689,2.661,2.741
Poland,POL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.475,6.141,4.867,3.835,3.267,3.155,3.268,2.811,2.743,2.472
Pre-demographic dividend,PRE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.937191701,5.020891066,5.284609319,5.351386027,5.423094637,5.960077686,5.823475559,5.00203737,4.700607933,4.564399648
Puerto Rico (US),PRI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12,11.8,10.8,9.2,8.3,8.89,7.9,6,5.725,5.472
"Korea, Dem. People's Rep.",PRK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.896,2.931,2.846,2.757,2.782,2.948,3,2.805,2.831,2.859
Portugal,PRT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.447,11.068,8.869,6.994,6.464,6.801,6.577,6.011,6.509,6.384
Paraguay,PRY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.556,5.255,6.138,6.217,6.595,7.548,7.311,6.755,5.794,6.093
West Bank and Gaza,PSE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,23.005,23.939,25.677,26.256,25.34,25.895,26.39,24.42,,
Pacific island small states,PSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.382091451,3.370556573,3.367720152,3.275633607,3.213943249,3.179371277,3.183777288,3.263764127,3.181085508,3.140070801
Post-demographic dividend,PST,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.883211865,6.409398934,5.848584518,5.296925643,4.941201275,6.727514681,5.803617309,4.51609302,4.466412923,4.634668263
French Polynesia,PYF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.789,11.715,11.573,11.572,11.565,12.951,12.531,11.888,11.749,11.75
Qatar,QAT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.17,0.15,0.14,0.11,0.1,0.14,0.14,0.13,0.13,0.126
Romania,ROU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.812,5.901,4.927,4.187,3.912,5.035,5.59,5.614,5.589,5.379
Russia,RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076,2.527
Rwanda,RWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.838,11.801,11.875,10.759,11.236,11.829,15.775,15.084,12.352,11.994
South Asia,SAS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.275209619,7.242575684,7.242855312,7.277323619,6.298187323,7.61279542,6.314917441,4.869393034,4.305251766,4.34169478
Saudi Arabia,SAU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008,3.896
Sudan,SDN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.347,13.606,12.953,12.303,11.658,11.958,11.044,7.53,,
Senegal,SEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.757,4.455,4.078,3.455,2.863,3.437,3.44,2.837,2.8,2.992
Singapore,SGP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.79,4.08,4.2,3.613,3.1,4.1,4.64,3.591,3.444,3.182
Solomon Islands,SLB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.735,0.734,0.725,0.72,0.743,0.864,0.884,1.483,1.455,1.47
Sierra Leone,SLE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.606,4.294,3.834,3.192,3.203,3.508,3.556,3.175,3.153,3.126
El Salvador,SLV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.998,4.418,4.385,4.006,4.17,5.008,4.327,2.999,2.992,2.839
San Marino,SMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
"Somalia, Fed. Rep.",SOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,18.597,18.578,18.523,18.738,18.828,19.413,19.662,19.05,18.941,18.861
Serbia,SRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.66,15.257,13.477,12.733,10.395,9.011,9.843,8.439,8.268,7.39
Sub-Saharan Africa (excluding high income),SSA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.287694541,6.366513641,6.502363384,6.511441627,6.67205826,7.137661197,7.34354022,6.522162975,6.181448098,6.113447784
South Sudan,SSD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.485,12.955,13.111,12.952,12.709,14.319,14.029,12.545,12.477,
Sub-Saharan Africa,SSF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.8550252,5.941673769,6.077506409,6.106327975,6.267921211,6.803309526,6.987663396,6.198018532,5.887753617,5.823525216
Small states,SST,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.777377346,8.665295589,8.316062072,8.035003552,7.691148423,9.112836549,8.720825383,8.040391117,7.666090513,7.558035712
Sao Tome and Principe,STP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.594,9.686,8.808,8.714,8.831,9.686,9.6,8.992,9.071,9.17
Suriname,SUR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.22,7.917,7.888,7.693,7.556,8.76,8.491,8.16,7.631,7.325
Slovak Republic,SVK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.492,9.679,8.142,6.544,5.761,6.719,6.894,6.143,5.84,5.234
Slovenia,SVN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.962,8,6.564,5.108,4.446,4.971,4.744,4.011,3.652,3.357
Sweden,SWE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.432,6.99,6.718,6.365,6.833,8.291,8.722,7.392,7.611,8.528
Eswatini,SWZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,23.285,22.718,24.523,26.369,28.138,32.944,34.153,35.359,35.086,34.4
Sint Maarten (Dutch part),SXM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Seychelles,SYC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Syrian Arab Republic,SYR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.243,13.795,13.597,13.497,13.36,15.191,14.877,13.268,13.187,12.962
Turks and Caicos Islands,TCA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Chad,TCD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.974,1.047,1.116,1.135,1.084,1.707,1.548,1.096,1.074,1.088
East Asia & Pacific (IDA & IBRD countries),TEA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.134988005,4.050945294,3.928165117,3.81853389,3.910558146,4.38272644,4.139769791,4.245548757,3.990239378,3.9018586
Europe & Central Asia (IDA & IBRD countries),TEC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.641510508,7.475281244,7.126181207,6.68712191,6.742706341,7.242965625,6.833363079,5.685061062,5.160330972,4.731604672
Togo,TGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.204,2.968,3.744,2.898,2.036,2.225,2.333,1.965,1.948,1.94
Thailand,THA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.597,0.688,0.83,0.765,0.716,1.099,1.215,0.94,0.733,0.693
Tajikistan,TJK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.485,11.5,11.487,11.437,11.419,12.321,12.333,11.634,11.546,11.635
Turkmenistan,TKM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.016,4.031,4.044,4.044,4.043,4.501,4.459,4.109,4.099,4.304
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.719034468,7.811365755,8.127556965,8.033247205,8.104243491,10.35224945,9.27350464,6.997690118,6.277058031,6.311537885
Timor-Leste,TLS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.678,4.657,4.248,3.778,3.097,2.782,2.344,1.537,1.521,1.603
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.966756652,8.664739932,9.157191194,9.18412652,8.967066563,9.753719796,9.613146268,9.045014769,8.919076142,8.889644067
Tonga,TON,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.024,2.046,2.131,2.248,2.157,2.699,2.111,2.302,2.262,2.192
South Asia (IDA & IBRD),TSA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.275209619,7.242575684,7.242855312,7.277323619,6.298187323,7.61279542,6.314917441,4.869393034,4.305251766,4.34169478
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.8550252,5.941673769,6.077506409,6.106327975,6.267921211,6.803309526,6.987663396,6.198018532,5.887753617,5.823525216
Trinidad and Tobago,TTO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.428,3.207,3.394,3.498,3.523,4.206,4.446,4.383,4.21,4.546
Tunisia,TUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15.159,15.557,15.33,15.459,17.153,17.656,16.611,15.3,15.106,16.203
Turkiye,TUR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.465,9.388,8.449
Tuvalu,TUV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Tanzania,TZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.159,2.23,2.303,2.393,2.496,2.781,2.821,2.588,2.582,2.576
Uganda,UGA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.679,3.008,3.428,3.25,3.06,3.831,3.422,2.886,2.787,2.941
Ukraine,UKR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.14,9.35,9.5,8.799,8.194,9.475,9.834,,,
Upper middle income,UMC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.796121394,6.029098552,6.038782269,5.962354785,6.093920605,6.786163326,6.408266781,6.039347635,5.662411862,5.618309945
Uruguay,URY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.488,7.841,7.89,8.336,8.836,10.413,9.328,7.877,8.355,8.401
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,4.106
Uzbekistan,UZB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.15,5.16,5.83,5.389,4.932,5.293,5.364,4.49,4.46,4.488
St. Vincent and the Grenadines,VCT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.141,19.028,19.006,18.984,19.235,20.636,20.341,19.417,18.574,18.056
"Venezuela, RB",VEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.137,5.319,5.045,5.46,5.876,7.53,7.037,5.707,5.485,5.475
British Virgin Islands,VGB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Virgin Islands (U.S.),VIR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.422,12.515,12.217,12.407,12.551,15.191,14.273,13.007,12.32,12.014
Viet Nam,VNM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.848,1.848,1.874,1.161,1.681,2.103,2.385,1.523,1.645,1.431
Vanuatu,VUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.254,5.261,5.287,5.326,5.444,4.046,4.766,5.143,5.082,5.064
World,WLD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.005977063,5.97765544,5.906576329,5.768459788,5.598562261,6.609206744,6.064555526,5.260645445,4.915954069,4.891628301
Samoa,WSM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.9,9.062,9.4,8.639,7.838,7.435,6.612,5.048,4.977,4.551
Kosovo,XKX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
"Yemen, Rep.",YEM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.9,18.416,18.603,17.584,17.202,17.953,18.287,17.363,17.091,17.086
South Africa,ZAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,25.149,26.536,27.035,26.906,28.468,29.217,34.007,33.268,32.098,33.168
Zambia,ZMB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.942,5.239,4.529,5.033,5.542,6.033,5.199,5.995,5.905,5.961
Zimbabwe,ZWE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.377,5.886,6.344,6.793,7.373,8.621,9.54,10.087,8.759,8.554